Iteration,Mean,Stdev,Run-0,Run-1,Run-2,Run-3,Run-4
0,0.07,0.005549774770204574,0.062,0.076,0.075,0.072,0.065
1,2.016,0.0023664319131800394,2.017,2.017,2.012,2.019,2.015
2,1.9225999999999999,0.025136427749384956,1.944,1.898,1.906,1.961,1.904
3,2.2474,0.06209863122485211,2.306,2.263,2.19,2.317,2.161
4,2.2526,0.06402062167770319,2.27,2.336,2.199,2.297,2.161
5,2.2725999999999997,0.07806817533414222,2.27,2.406,2.199,2.297,2.191
6,2.287,0.0846569548235769,2.328,2.406,2.193,2.321,2.187
7,2.2958,0.0866196282605793,2.328,2.428,2.215,2.321,2.187
8,2.3038,0.0790781891547887,2.284,2.428,2.215,2.357,2.235
9,2.3165999999999998,0.08856771420783993,2.284,2.47,2.237,2.357,2.235
10,2.3178,0.08800772693349355,2.307,2.47,2.237,2.347,2.228
11,2.3174,0.08731689412707762,2.307,2.468,2.237,2.347,2.228
12,2.3194,0.0874450684715835,2.305,2.468,2.237,2.356,2.231
13,2.3122,0.07714765064473501,2.305,2.435,2.234,2.356,2.231
14,2.3168,0.07856564134531352,2.297,2.435,2.234,2.378,2.24
15,2.32,0.08039651733751221,2.297,2.445,2.24,2.378,2.24
16,2.3176,0.07721036199888721,2.301,2.445,2.24,2.359,2.243
17,2.3102,0.06864808810156153,2.301,2.414,2.234,2.359,2.243
18,2.306,0.0678498341928723,2.311,2.414,2.234,2.337,2.234
19,2.2948,0.07008680332273647,2.311,2.393,2.199,2.337,2.234
20,2.2854,0.07249993103444093,2.3,2.393,2.199,2.324,2.211
21,2.2788,0.07064106454464765,2.3,2.374,2.185,2.324,2.211
22,2.2630000000000003,0.06852736679602806,2.266,2.374,2.185,2.292,2.198
23,2.2546,0.07237015959634294,2.266,2.362,2.155,2.292,2.198
24,2.2461999999999995,0.07661174844631816,2.253,2.362,2.155,2.29,2.171
25,2.2384,0.07786809359423813,2.253,2.346,2.132,2.29,2.171
26,2.2237999999999998,0.07339591269275032,2.237,2.346,2.132,2.237,2.167
27,2.2117999999999998,0.07355922783717642,2.237,2.318,2.1,2.237,2.167
28,2.2026,0.07619343803767155,2.231,2.318,2.1,2.224,2.14
29,2.1978,0.06808935305904702,2.231,2.292,2.102,2.224,2.14
30,2.1904,0.0688813472574411,2.208,2.292,2.102,2.224,2.126
31,2.1822,0.07021224964350123,2.208,2.274,2.079,2.224,2.126
32,2.1742,0.06871797435897627,2.193,2.274,2.079,2.207,2.118
33,2.1721999999999997,0.06699671633745423,2.193,2.266,2.077,2.207,2.118
34,2.166,0.06950395672190597,2.18,2.266,2.077,2.207,2.1
35,2.1675999999999997,0.064840111042471,2.18,2.261,2.09,2.207,2.1
36,2.1616,0.06565851049178739,2.165,2.261,2.09,2.201,2.091
37,2.1588000000000003,0.06726782291704243,2.165,2.258,2.079,2.201,2.091
38,2.1566,0.06596847732061122,2.162,2.258,2.079,2.192,2.092
39,2.1572,0.06798646924204386,2.162,2.263,2.077,2.192,2.092
40,2.149,0.06612715024859019,2.141,2.263,2.077,2.171,2.093
41,2.1496,0.06325693637855519,2.141,2.259,2.084,2.171,2.093
42,2.1426000000000003,0.06294632634236802,2.128,2.259,2.084,2.15,2.092
43,2.1384,0.059210134267721835,2.128,2.245,2.077,2.15,2.092
44,2.1336000000000004,0.05904777726551975,2.126,2.245,2.077,2.128,2.092
45,2.1344000000000003,0.05550351340229305,2.126,2.24,2.086,2.128,2.092
46,2.1282,0.05693645580820667,2.117,2.24,2.086,2.106,2.092
47,2.1226,0.05043649472356706,2.117,2.22,2.078,2.106,2.092
48,2.1239999999999997,0.05029115230338574,2.123,2.22,2.078,2.107,2.092
49,2.1216,0.04347229002480173,2.123,2.204,2.082,2.107,2.092
50,2.1154,0.045013775669234625,2.107,2.204,2.082,2.092,2.092
51,2.1154,0.047199999999997445,2.107,2.208,2.078,2.092,2.092
52,2.1124,0.04958467505186973,2.111,2.208,2.078,2.073,2.092
53,2.1074,0.035947739845487284,2.111,2.175,2.086,2.073,2.092
54,2.1100000000000003,0.03362736980494526,2.11,2.175,2.086,2.087,2.092
55,2.107,0.03002665482533352,2.11,2.164,2.082,2.087,2.092
56,2.101,0.03337064578338345,2.1,2.164,2.082,2.067,2.092
57,2.102,0.035760313197729286,2.1,2.17,2.081,2.067,2.092
58,2.1044,0.03335026236777503,2.097,2.17,2.081,2.082,2.092
59,2.105,0.034531145361817686,2.097,2.173,2.081,2.082,2.092
