Run,Iteration,dim-0,dim-1,dim-2,dim-3,dim-4,dim-5,dim-6,dim-7,dim-8,dim-9,dim-10,dim-11,dim-12,dim-13,dim-14,dim-15,dim-16,dim-17,dim-18,dim-19,dim-20,dim-21,dim-22,dim-23,dim-24,dim-25,dim-26,dim-27,dim-28,dim-29,dim-30,dim-31,dim-32,dim-33,dim-34,dim-35,dim-36,dim-37,dim-38,dim-39,dim-40,dim-41,dim-42,dim-43,dim-44,dim-45,dim-46,dim-47,dim-48,dim-49,dim-50,dim-51,dim-52,dim-53,dim-54,dim-55,dim-56,dim-57,dim-58,dim-59,dim-60,dim-61,dim-62,dim-63,dim-64,dim-65,dim-66,dim-67,dim-68,dim-69,dim-70,dim-71,dim-72,dim-73,dim-74,dim-75,dim-76,dim-77,dim-78,dim-79,dim-80,dim-81,dim-82,dim-83,dim-84,dim-85,dim-86,dim-87,dim-88,dim-89,dim-90,dim-91,dim-92,dim-93,dim-94,dim-95,dim-96,dim-97,dim-98,dim-99,dim-100,dim-101,dim-102,dim-103,dim-104,dim-105,dim-106,dim-107,dim-108,dim-109,dim-110,dim-111,dim-112,dim-113,dim-114,dim-115,dim-116,dim-117,dim-118,dim-119,dim-120,dim-121,dim-122,dim-123,dim-124,dim-125,dim-126,dim-127,dim-128,dim-129,dim-130,dim-131,dim-132,dim-133,dim-134,dim-135,dim-136,dim-137,dim-138,dim-139,dim-140,dim-141,dim-142,dim-143
0,0,1436.03547477112,1432.108081237929,1422.2808652323283,1432.9963334726356,1431.0835499206603,1431.394710674791,1436.468526305628,1430.406014174461,1377.6160068456952,1379.9967277673775,1376.680046980084,1378.4005988382262,1379.787325501592,1375.19326480879,1342.4792258834211,1338.5566698872678,1342.8400528786826,1337.2307293635952,1331.633378462576,1339.2240899001474,1326.691053039004,1338.1990561520884,1335.180719262674,1329.2941164015872,1324.046192290767,1331.169300129531,1340.3062790255567,1337.6995412209774,1337.945836690591,1334.7970911730274,1415.5113555138407,1406.8985607983313,1421.3503194434415,1313.180290979361,1415.3027493237803,1315.0739937453895,1312.600356471976,1313.7618704167487,1314.0395797200601,1410.5344801985907,1393.4616610770227,1405.336184765604,1397.1024489533456,1401.1173973609903,1472.771422948488,1536.7132468262782,1570.146561596917,1555.2656649554694,1518.3093069966267,1464.21870632222,1334.8081769021092,1472.074653098024,1516.322748187003,1436.1349832282738,1336.532665571787,1325.326287230423,1439.4318422219585,1429.7476567872252,1441.039469609982,1432.2530083135282,1427.222189950794,1430.2014080779015,1437.5762365538174,1437.2142443574648,1373.0050547770265,1372.8137561692822,1383.132811828552,1380.999845694735,1383.616730057686,1381.8253634803154,1336.8432999819856,1341.7740612441414,1343.0387942532363,1343.1155797910878,1331.6493867528166,1325.3308301755264,1330.8349178771716,1332.8244467068394,1334.5734461875675,1326.6320973832112,1328.4662190471652,1335.3381895617956,1341.9767007214484,1347.4314736218953,1345.297681050208,1338.7672675102367,1418.0718333569253,1413.024328450758,1426.2291674948588,1316.7750175192607,1413.6303818211252,1317.1572085169762,1314.8268543321544,1314.5596293106541,1313.7143282417924,1410.3740475472453,1401.1006057664774,1405.1347571241058,1395.4539600860535,1397.2094636369627,1470.549671298588,1530.801392643005,1566.1582883810038,1546.6932332799531,1511.221324560665,1469.6739346600828,1331.882045606385,1471.390761537846,1532.0088011366033,1439.4577493820946,1342.0705762410653,1324.087849556073,1433.7569815540846,1439.3943018584039,1438.1318429182595,1434.6531850037395,1441.630467771402,1432.1769548840573,1437.0681089845125,1435.7240557168584,1374.0898149816148,1377.0676073458749,1378.8080517671956,1375.1929452157465,1381.3508256999182,1373.7240541258466,1337.5646239651003,1333.2362237043867,1339.9072420283428,1349.0048433752804,1335.9014355175111,1328.489914928449,1331.6658972063863,1337.535608663001,1331.1641255265647,1327.1663070389604,1329.9190601612497,1322.1403449016,1347.337267950036,1334.6615251798066,1346.905439749255,1349.7611177865656,1408.4333556501663,1406.702966076831
0,1,1383.4019533191783,1379.5216247318242,1380.108124158722,1369.0263052552955,1377.8674250840456,1388.941499822645,1378.1199277165463,1382.2389907359434,1388.108463706969,1397.4726633730013,1390.3709045074063,1377.9940717149618,1395.9018287205736,1393.019091009044,1390.8910185758396,1398.6828730238642,1395.8215718038402,1393.610983330618,1395.6544303721707,1396.8688012459024,1390.323022946057,1400.3154081647042,1398.230966593162,1396.8505914682107,1397.2386491413627,1394.4064145869008,1385.3872297440587,1390.3983262023862,1400.8496677081896,1395.2301387062307,1370.9335276258769,1373.4037899527757,1375.3222387251913,1402.2182043707696,1378.6882784173695,1390.023789321324,1403.237108534829,1403.2502101543719,1402.5602411368811,1388.3912104495737,1377.3274235667286,1389.1070808577779,1392.7590243122736,1379.531812343273,1370.6869433375948,1359.8930401740108,1354.664752392697,1366.4117905991554,1368.5683269800702,1382.1094305979816,1407.02485044238,1383.8121483281127,1365.3886106840778,1378.0083943801437,1400.410596155172,1395.6776733192987,1375.8506342436328,1385.022685132547,1381.9860630160156,1380.1639561799182,1381.7030720657772,1380.5983473997226,1377.177230947008,1372.6069069899256,1392.7575447435065,1394.1238302907216,1389.0919524261255,1387.866428799878,1388.9170008479662,1391.8601214471676,1397.4815477706456,1382.6535971917924,1392.9980441532437,1394.7064538350949,1388.9743832175177,1398.5940168702516,1395.7634371211898,1397.852749169734,1392.9303820212713,1390.862136182575,1404.6259170234548,1393.028237915075,1398.553561185732,1392.239731608265,1396.6498131931412,1395.5511222028451,1374.5071036225763,1379.638180961627,1385.4930049176164,1403.4889298737921,1380.3427842947674,1401.1418297795594,1396.203486126272,1400.2108764496109,1398.174667098662,1378.3570708453524,1386.3990695467705,1387.06576234638,1380.5481477053643,1390.5417735650167,1374.051338111823,1362.8264688535978,1352.8464554250545,1350.7023596379975,1367.3918135755982,1373.7466754956715,1391.790965392942,1371.0222570102455,1363.0492701086177,1381.3120712698587,1393.672890599216,1398.9447216333813,1375.9342785409026,1384.405273802437,1371.1321166473356,1379.3848210270176,1367.9801469441343,1381.4006970738244,1372.3276606775955,1372.8105345935028,1380.7551477081538,1382.351741616346,1382.5756908889787,1386.8488094491772,1395.4388796285966,1384.8050559469582,1392.6469762193472,1401.5852248480305,1397.9746433465355,1396.50265717885,1400.028509037284,1404.8032327972107,1394.7033936964183,1398.101905714114,1395.6211261248375,1395.8674263465155,1402.3062703232754,1410.9530822803445,1399.2129672264482,1390.9290171682444,1395.5549360779264,1403.096261794683,1384.1578996837452,1378.01352091999
0,2,1393.6324616127729,1385.6473391074212,1384.4243202221942,1383.4207188967857,1386.1312052053563,1393.9006580344812,1386.1674422416809,1390.798832084557,1390.7704679450994,1394.169963052517,1389.5266013985718,1382.3267833282553,1391.939835569913,1390.0233151459072,1381.2672781987935,1389.3693104316728,1387.1249623508015,1387.7580880085711,1385.105207520583,1388.079042843568,1382.4564980886996,1392.6078108088989,1389.6926813494183,1386.0938985619157,1385.956633215173,1385.3287279877625,1379.6926178583994,1386.1269494145604,1392.314543005208,1386.0881030075006,1380.0028611854511,1377.352611005597,1381.5577601599657,1391.6571847018404,1382.781597730746,1380.315134250406,1395.9059576250359,1389.9400342724307,1391.0697427610087,1387.5156064160246,1378.130528719966,1391.608866608865,1390.5672338155919,1381.9190302109419,1385.5962157513684,1385.525962780972,1381.8708483917926,1393.8281271802957,1386.9490533121516,1388.7486781919124,1395.8481062233457,1394.7100502916458,1385.6155339205893,1384.3213402589624,1391.02613336049,1386.0576276672864,1386.3883879452817,1387.741743259733,1389.4231236676856,1388.1385719914786,1388.5345751688023,1386.2423270495615,1384.5704555427176,1379.8021208932623,1388.9483266229067,1390.2107590876549,1389.8717292804238,1381.7213804066232,1385.8770440886353,1390.0113514487527,1389.3102603401753,1377.5370295588698,1386.0181154277566,1390.729063305521,1382.439955328162,1385.5857067365205,1385.8042215228422,1387.674757350622,1388.0582455192607,1385.022116267835,1393.793819314611,1386.6464130133386,1387.2229408169558,1390.458172209131,1390.7541593146548,1390.6343503406958,1378.194249045132,1379.8141294706775,1388.9209829788356,1390.8372694245472,1388.576013779814,1393.6525359725788,1386.5510985952485,1389.7779761553675,1389.4858339186003,1380.4560334649598,1385.9291457513839,1390.0469127502145,1382.7752870060629,1390.4760318409838,1389.8230040862152,1389.3604272963635,1384.9806387008068,1377.358055882842,1388.0118569355207,1384.136363062271,1380.8781052885945,1380.4331610934912,1385.5354768647344,1392.0520904919429,1388.8618385464526,1385.4368964530083,1383.380811408833,1389.574762031091,1383.1685344879163,1386.268464231105,1378.1813456982948,1391.2903178402316,1381.2669030921822,1382.5809969370794,1378.0265231938079,1385.2203713874437,1383.6426508684788,1386.5507139526098,1392.7884381471745,1385.3905432523984,1386.5014621466746,1392.9840231046587,1391.536399597883,1388.5994007840338,1392.9450713466495,1395.7221858593255,1389.5988047830824,1392.4997385508966,1385.6660032155107,1385.6328378287,1391.9938008505374,1395.7041164356788,1392.1912391143806,1378.0594982956588,1388.2647505587174,1391.6384065550083,1385.1309001493828,1381.237472722968
0,3,1390.0082929886996,1385.69797103007,1385.9394273589971,1387.005067598224,1385.705759689867,1389.759485831461,1388.6542690868694,1391.2778449449424,1388.2099780637316,1393.8162690599108,1390.3618583033185,1383.667940195659,1388.6366859594707,1386.8136841919836,1383.042657761,1387.3253912785635,1386.3737001036272,1388.3842248453832,1383.0732913298025,1385.3441387424634,1382.6982810891698,1387.2616300526122,1387.5733074407347,1386.551478976706,1388.805159162053,1381.9292571648853,1382.065674422844,1388.688968347703,1389.7846943879313,1385.6187759690147,1382.2276350034128,1383.9571276725667,1384.1878110990635,1387.1689307065594,1385.4635023981912,1381.5535068124232,1392.624932093737,1383.9948571590703,1387.9997386909806,1385.5889963806715,1382.3853700207599,1392.8995153580959,1385.1359021117623,1382.398806056204,1392.6574575446114,1391.169885808295,1391.7398297742666,1389.771519505553,1389.7546074053412,1389.7408102678341,1388.514138984774,1393.7960487596902,1392.1605791025377,1387.1246847386772,1388.26654553213,1388.4658493256024,1386.1236903003337,1388.8186677267354,1384.8316624495958,1389.858715389203,1391.677955793418,1390.312564256952,1386.2325779570149,1385.115092922553,1386.9663648119763,1386.4933907205618,1389.1650110581973,1384.8087266210591,1388.1562821612993,1386.9845542394783,1385.1617974415203,1378.6403649139518,1387.061586504029,1388.190309623057,1383.009057060078,1382.692124373789,1383.4541830586504,1386.1851465358573,1387.8350219488602,1384.494919367416,1387.6106369429385,1384.8879985779981,1385.8266266189166,1386.655045532723,1386.3404930431689,1387.0634044383787,1385.2331252440215,1389.6143034292334,1388.1868174894444,1387.625171131655,1387.6269879199444,1388.7264481578159,1386.1246905299179,1388.9187481082397,1386.3773602442711,1384.1876181448574,1387.262991563495,1385.247420104711,1383.0939544149762,1387.361912357871,1389.7650455674336,1392.3667980057714,1390.6113488119952,1383.737050710713,1388.9009705200385,1390.0246517788044,1378.472113810166,1385.285681565741,1392.1558541442098,1389.1308589391642,1389.4992342104483,1385.408796942575,1385.094622455485,1389.7007087890483,1386.119331768793,1388.590504069988,1382.1914097436413,1389.6806958613881,1385.1768541078638,1386.2202217761749,1384.2333349863338,1389.3773690239882,1386.1444966977476,1387.573018155706,1389.5829952515135,1387.47513531383,1385.1935365224392,1388.3260725763673,1390.0255891597153,1386.5157514456896,1388.028579668533,1388.1608601309842,1387.534592764154,1389.6591475186979,1385.6103269015482,1382.4574962014474,1389.69637715554,1389.4293046336177,1388.1924710563935,1382.936488378933,1386.0814291511515,1389.8739217323725,1387.938327077443,1383.8895993929743
0,4,1389.2612393359811,1382.3909435593073,1385.5213409146697,1384.3194681569373,1385.8790822553294,1390.4364612309637,1387.486631361,1391.919236862692,1387.3874662944008,1391.021910500254,1386.5084247531827,1386.2334569619504,1390.4971933437732,1385.926495799872,1384.6371913934772,1386.0921720053614,1386.33570457127,1387.0581544107704,1385.250656548984,1384.2351571106396,1383.5381826309401,1388.468314726802,1387.3923033002545,1386.9828938013159,1387.1667257019647,1385.6045736047931,1381.0304721113955,1385.3616863881243,1392.1004600269403,1384.3625811098827,1385.9438900269713,1383.5382304920786,1384.356720030962,1387.763965865257,1384.8473125422522,1385.1387192602103,1389.9840286309802,1387.0516020389407,1386.7807490142077,1386.8739552033405,1384.073897850025,1390.2889294279546,1385.0691812643886,1384.2380482228195,1387.8212139377554,1389.3580781173282,1388.453408644391,1389.9628716164618,1390.0694785110386,1390.264844055533,1388.1665019432776,1389.8741661464023,1391.4800130568497,1385.277542105966,1387.3986259163214,1385.9751309471587,1386.6278977316485,1388.6230041869087,1385.7547810854892,1389.789289567677,1390.1968795643877,1387.5122939705143,1387.9705772744462,1384.68214570206,1390.662522650121,1387.5515762919404,1388.555128193484,1384.8036227681132,1387.6485595628774,1387.1183931371656,1386.0295346120533,1385.0372591531948,1386.8385571802207,1387.9131404390093,1386.489353945921,1388.4611096435754,1384.2558445487234,1387.7977459350464,1386.3854225647956,1386.6446062626246,1387.885342855711,1388.2346516184011,1385.553827052119,1390.0951624965808,1386.4429050234287,1389.4709372567029,1382.4182158894084,1384.7262964204613,1386.65521547925,1388.421642379775,1383.9665480691974,1389.0990963280572,1386.1374961594795,1389.8024737704309,1387.2785349203627,1385.177789200432,1389.0992097895216,1384.9012888571476,1384.7684828644503,1387.4036678783286,1387.3572639531174,1390.1515401204306,1387.064312515966,1384.4698238206258,1387.820082431175,1387.1874086344458,1383.6227527182364,1387.807687466786,1388.1351794756138,1387.9526266819348,1388.3304945830391,1387.2104625725988,1386.595670794695,1388.236585263893,1385.1350496345117,1386.3208501086576,1387.1743718920386,1390.649238311788,1385.9099307706686,1386.1951813388062,1385.7359747818468,1388.096855348743,1386.6895904279038,1384.257927614146,1387.3835595608482,1386.7311188141837,1386.6906008794404,1390.7715633315906,1389.2167142085477,1389.2800500394353,1387.0027905441302,1388.100957962022,1387.7121193922753,1389.973948426074,1388.2312448927187,1382.8684162536058,1386.2563820759538,1388.841542729424,1387.8571881022635,1384.1755693954683,1387.4479292028077,1389.3083818480418,1386.9607774354592,1384.8708171179364
0,5,1389.261239335981,1382.390943559307,1385.52134091467,1384.319468156937,1385.8790822553296,1390.4364612309632,1387.4866313610003,1391.9192368626923,1387.3874662944008,1391.0219105002539,1386.5084247531825,1386.2334569619504,1390.4971933437728,1385.9264957998723,1384.637191393477,1386.0921720053614,1386.3357045712705,1387.0581544107702,1385.250656548984,1384.2351571106394,1383.5381826309401,1388.4683147268022,1387.3923033002548,1386.982893801316,1387.1667257019647,1385.6045736047934,1381.0304721113957,1385.3616863881246,1392.1004600269405,1384.362581109882,1385.943890026971,1383.5382304920786,1384.356720030962,1387.763965865257,1384.8473125422522,1385.1387192602103,1389.9840286309802,1387.0516020389407,1386.7807490142075,1386.8739552033405,1384.0738978500253,1390.2889294279544,1385.0691812643884,1384.2380482228198,1387.8212139377551,1389.358078117328,1388.453408644391,1389.9628716164616,1390.0694785110386,1390.264844055533,1388.1665019432778,1389.8741661464026,1391.48001305685,1385.277542105966,1387.3986259163216,1385.9751309471587,1386.6278977316488,1388.6230041869087,1385.7547810854892,1389.789289567677,1390.196879564388,1387.5122939705143,1387.9705772744462,1384.68214570206,1390.6625226501212,1387.5515762919406,1388.5551281934838,1384.8036227681132,1387.6485595628774,1387.1183931371656,1386.0295346120533,1385.0372591531946,1386.8385571802207,1387.9131404390096,1386.4893539459208,1388.4611096435751,1384.255844548723,1387.7977459350461,1386.3854225647956,1386.6446062626248,1387.885342855711,1388.2346516184011,1385.553827052119,1390.0951624965808,1386.4429050234287,1389.4709372567027,1382.4182158894084,1384.7262964204615,1386.65521547925,1388.4216423797748,1383.9665480691976,1389.0990963280576,1386.1374961594795,1389.8024737704309,1387.2785349203627,1385.177789200432,1389.0992097895219,1384.9012888571478,1384.7684828644506,1387.4036678783286,1387.3572639531174,1390.1515401204306,1387.0643125159663,1384.4698238206254,1387.820082431175,1387.1874086344458,1383.6227527182366,1387.807687466786,1388.135179475614,1387.952626681935,1388.3304945830387,1387.2104625725988,1386.5956707946953,1388.236585263893,1385.135049634512,1386.3208501086574,1387.1743718920388,1390.649238311788,1385.9099307706683,1386.1951813388066,1385.7359747818466,1388.0968553487432,1386.6895904279036,1384.257927614146,1387.383559560848,1386.731118814184,1386.6906008794404,1390.7715633315906,1389.2167142085477,1389.2800500394353,1387.0027905441302,1388.100957962022,1387.7121193922753,1389.9739484260738,1388.2312448927185,1382.8684162536058,1386.2563820759538,1388.8415427294237,1387.8571881022635,1384.1755693954685,1387.4479292028077,1389.3083818480418,1386.960777435459,1384.8708171179362
0,6,1388.3390302008406,1385.9317167245345,1385.3023455899609,1390.0723109994374,1387.704407200127,1388.3525808670302,1388.4812891053762,1387.5659713095624,1387.1834858085485,1389.4229170030376,1384.4803363181293,1386.6335890358896,1388.217225751328,1388.2672123523296,1386.3507837489053,1388.3428097157444,1387.155938197568,1385.4015665859754,1387.6614314811989,1382.562279376002,1386.4958285054597,1386.7112253964299,1387.849003530675,1385.7717108444094,1386.4321138617522,1383.3651037605734,1386.3139732313052,1384.9667498948027,1389.2119026452037,1388.8768155448913,1385.0122786162726,1388.521662851871,1385.0230976019748,1387.2066854773607,1388.6851113309338,1385.953844485835,1386.6782752448114,1388.1832950516261,1385.0134886618293,1389.2733312552543,1386.7606809629065,1388.0769303235038,1387.3249794697624,1386.4392015875662,1392.8263306103001,1386.6194776982452,1388.4508040786927,1388.9619875712806,1390.3195397423938,1385.512404357896,1388.1908621244402,1387.819294829789,1387.0184248651422,1387.88756639773,1384.9687189745136,1386.3074067745663,1389.2111754846153,1388.0753039829924,1389.3097473741254,1388.2064151227598,1388.6557996311096,1389.8865927936295,1382.1804744023939,1386.0938782817518,1386.2307749713325,1388.1236394884356,1388.1679041810423,1388.9789717198182,1388.0144557771214,1386.572143692574,1389.0910059126682,1383.9952589963414,1386.067284461837,1385.8665797094934,1385.2371268284764,1385.7231243111332,1385.3392978120087,1386.3958558324332,1387.4264901841152,1386.8655078371837,1385.3557781207978,1385.47404031556,1386.1102053821585,1387.8637387117892,1385.9320364750872,1385.6360223166669,1386.0158562575127,1388.6987565904387,1387.9107017712045,1385.3127982538408,1382.7504628433064,1388.0575353012182,1388.2796291936527,1388.3378264664732,1386.1779541720337,1387.832468921425,1385.9969733469934,1386.9663440961672,1387.9575193201963,1386.6683735784654,1389.5080026645867,1389.7254050007941,1388.4261772326954,1386.348055551979,1390.228521979847,1388.0142312685718,1383.7836950952471,1387.911560644392,1388.5050424059598,1387.333088897142,1384.879292723352,1386.677512399875,1387.4609155909143,1389.1610784502382,1388.9081769328607,1387.8059934860191,1387.6843248727046,1387.984988716007,1386.6910205693066,1387.7227263448603,1384.8352683858764,1386.0219873668455,1386.8689458824263,1383.3932732677645,1387.8214159156944,1386.0117179748945,1386.3954528924755,1387.9185926714022,1387.5943953144872,1387.7405031892881,1386.4984581097244,1385.7740829520444,1388.9928280253343,1387.6334293477712,1386.08110235016,1385.9041207005325,1385.8563548077868,1386.4299880606131,1385.2346586082233,1386.1967558113013,1387.4800462240394,1389.2690814961725,1388.2540623631598,1384.6587510939637
0,7,1388.3390302008406,1385.9317167245345,1385.3023455899609,1390.0723109994374,1387.7044072001272,1388.3525808670302,1388.481289105376,1387.5659713095624,1387.1834858085483,1389.4229170030376,1384.4803363181288,1386.6335890358898,1388.2172257513282,1388.2672123523294,1386.3507837489055,1388.3428097157446,1387.155938197568,1385.4015665859758,1387.661431481199,1382.562279376002,1386.4958285054593,1386.7112253964299,1387.849003530675,1385.7717108444099,1386.432113861752,1383.3651037605734,1386.3139732313052,1384.9667498948027,1389.2119026452035,1388.8768155448913,1385.0122786162726,1388.5216628518713,1385.023097601975,1387.206685477361,1388.6851113309333,1385.9538444858347,1386.6782752448114,1388.1832950516264,1385.0134886618293,1389.2733312552546,1386.7606809629067,1388.0769303235038,1387.3249794697626,1386.4392015875662,1392.8263306103004,1386.619477698245,1388.4508040786927,1388.9619875712804,1390.319539742394,1385.512404357896,1388.1908621244404,1387.819294829789,1387.018424865142,1387.8875663977306,1384.9687189745136,1386.3074067745665,1389.2111754846153,1388.0753039829922,1389.3097473741252,1388.20641512276,1388.6557996311096,1389.8865927936297,1382.1804744023939,1386.093878281752,1386.2307749713323,1388.1236394884356,1388.167904181042,1388.978971719818,1388.0144557771214,1386.5721436925742,1389.091005912668,1383.9952589963414,1386.0672844618368,1385.8665797094932,1385.2371268284767,1385.7231243111335,1385.3392978120087,1386.3958558324332,1387.4264901841148,1386.8655078371837,1385.355778120798,1385.47404031556,1386.110205382159,1387.863738711789,1385.9320364750872,1385.636022316667,1386.0158562575127,1388.6987565904385,1387.9107017712047,1385.312798253841,1382.7504628433064,1388.057535301218,1388.2796291936525,1388.3378264664732,1386.1779541720337,1387.832468921425,1385.9969733469936,1386.966344096167,1387.9575193201963,1386.6683735784654,1389.5080026645867,1389.7254050007941,1388.4261772326954,1386.3480555519793,1390.228521979847,1388.0142312685718,1383.7836950952474,1387.9115606443922,1388.5050424059596,1387.333088897142,1384.8792927233521,1386.6775123998752,1387.4609155909145,1389.1610784502382,1388.9081769328602,1387.805993486019,1387.6843248727046,1387.984988716007,1386.6910205693066,1387.7227263448603,1384.8352683858766,1386.0219873668452,1386.8689458824263,1383.3932732677647,1387.8214159156942,1386.0117179748945,1386.395452892476,1387.9185926714022,1387.5943953144872,1387.7405031892881,1386.4984581097244,1385.7740829520444,1388.9928280253343,1387.6334293477714,1386.08110235016,1385.9041207005323,1385.8563548077868,1386.4299880606134,1385.2346586082235,1386.1967558113013,1387.4800462240396,1389.2690814961725,1388.2540623631598,1384.6587510939637
0,8,1387.8284732037846,1387.1525737524373,1384.8051817747848,1387.3875329210537,1385.6771452662606,1386.9225977092296,1387.427830123578,1388.0132599698547,1386.5162705242901,1387.011457352107,1385.7404220764377,1385.256519313298,1386.9042746958212,1388.5334969518433,1387.1262435289016,1388.7039536838022,1387.024493832817,1385.8123355804646,1387.0864743739708,1384.6338517607883,1387.1846961750728,1387.679996452082,1388.7720396311743,1386.0867342049864,1386.016550110202,1384.7508325209644,1386.2680756771865,1384.9322696245595,1387.8044016530537,1389.3400419719069,1385.564993718291,1386.1129975296078,1386.554814850084,1388.0287305855338,1387.1884163096493,1389.5186884063048,1386.8783961872748,1389.826260835903,1385.9052419445948,1388.4096872705004,1387.3312588533747,1388.283813983827,1388.1490226231751,1386.9781591516671,1390.0825872249816,1383.7712126338133,1387.2533011219339,1387.930467748133,1390.0971617582152,1386.8526626200312,1386.4798385109702,1388.4446139150155,1387.430322992168,1387.7394515647557,1385.402702065581,1385.9928127002047,1386.4869266719154,1386.9283460049994,1389.0112449947192,1387.251354326692,1389.6709540154118,1389.4964762030247,1384.5358134618566,1386.7386045190979,1386.0320180202998,1387.19508793636,1389.2114539684896,1387.407193224453,1386.8236581519943,1387.9849022121025,1389.154257418347,1384.5582369034037,1387.1121379619692,1385.9426827008183,1386.5130013404093,1386.1075480337595,1386.4896863357205,1386.5147712533405,1386.744008232426,1387.9278799641404,1388.527462393108,1386.6356107328738,1387.0918543813016,1388.023152486084,1386.7709756482861,1386.4551488700413,1385.3026861832348,1387.570347640771,1386.7582510739842,1386.5585297674218,1386.4055396543815,1388.7764288807516,1387.8834128582153,1387.6407029897807,1387.3846319943184,1387.7822090177747,1385.271780985003,1387.257477567629,1388.0721765353874,1386.6713783408798,1388.0528009431034,1388.051755179491,1387.507272617148,1385.715029318387,1389.239699808759,1387.3276979074242,1384.2555020677642,1387.7572442754688,1387.8697967449634,1387.7325353539889,1386.3607128315857,1387.8861813741896,1388.7091182652116,1387.0784463398663,1388.1942161771092,1386.9988001184647,1388.009595635395,1386.5782635030835,1385.8744919990374,1386.5247070848193,1386.3671808422257,1385.3593693022935,1386.390002428982,1385.0496495563896,1388.0093157344504,1387.47316242219,1388.0814616941693,1387.860741448163,1387.1645465844088,1385.334562531532,1386.439269492466,1386.969339645254,1389.3823849789057,1385.889623029152,1385.4502297453487,1386.4309880353105,1386.6822855371988,1387.1927428555048,1385.8841972042742,1384.8819976420905,1387.2872141255466,1388.2762791021705,1387.3345351909195,1386.9336573437552
0,9,1387.8284732037846,1387.1525737524373,1384.805181774785,1387.3875329210537,1385.6771452662604,1386.9225977092296,1387.4278301235775,1388.0132599698545,1386.5162705242903,1387.0114573521075,1385.7404220764379,1385.256519313298,1386.9042746958214,1388.5334969518435,1387.1262435289016,1388.703953683802,1387.0244938328167,1385.8123355804644,1387.0864743739708,1384.6338517607885,1387.184696175073,1387.6799964520822,1388.7720396311745,1386.0867342049867,1386.0165501102022,1384.7508325209647,1386.2680756771867,1384.9322696245592,1387.804401653054,1389.3400419719069,1385.564993718291,1386.1129975296078,1386.5548148500836,1388.0287305855338,1387.1884163096493,1389.518688406305,1386.8783961872746,1389.8262608359028,1385.905241944595,1388.4096872705002,1387.3312588533747,1388.2838139838273,1388.1490226231751,1386.9781591516671,1390.0825872249814,1383.7712126338133,1387.253301121934,1387.9304677481327,1390.0971617582152,1386.852662620031,1386.47983851097,1388.4446139150152,1387.4303229921684,1387.7394515647557,1385.402702065581,1385.9928127002047,1386.4869266719156,1386.9283460049994,1389.0112449947194,1387.251354326692,1389.670954015412,1389.4964762030245,1384.5358134618568,1386.7386045190974,1386.0320180202998,1387.1950879363603,1389.2114539684896,1387.4071932244533,1386.8236581519943,1387.984902212102,1389.1542574183472,1384.558236903404,1387.1121379619694,1385.9426827008183,1386.5130013404091,1386.1075480337593,1386.4896863357203,1386.5147712533408,1386.7440082324265,1387.9278799641402,1388.527462393108,1386.6356107328738,1387.0918543813018,1388.023152486084,1386.7709756482864,1386.455148870041,1385.3026861832345,1387.570347640771,1386.7582510739837,1386.5585297674215,1386.4055396543813,1388.7764288807514,1387.883412858215,1387.6407029897807,1387.3846319943184,1387.7822090177744,1385.2717809850026,1387.2574775676292,1388.0721765353876,1386.6713783408795,1388.0528009431032,1388.0517551794908,1387.507272617148,1385.7150293183868,1389.239699808759,1387.327697907424,1384.2555020677637,1387.7572442754686,1387.8697967449634,1387.7325353539886,1386.360712831586,1387.8861813741896,1388.7091182652116,1387.0784463398663,1388.194216177109,1386.9988001184645,1388.009595635395,1386.5782635030837,1385.874491999037,1386.524707084819,1386.3671808422255,1385.3593693022938,1386.390002428982,1385.0496495563896,1388.0093157344506,1387.47316242219,1388.0814616941689,1387.860741448163,1387.164546584409,1385.334562531532,1386.439269492466,1386.9693396452537,1389.3823849789057,1385.889623029152,1385.4502297453485,1386.4309880353107,1386.6822855371986,1387.1927428555045,1385.884197204274,1384.8819976420907,1387.2872141255466,1388.2762791021705,1387.3345351909195,1386.9336573437547
