Iteration,Mean,Stdev,Run-0,Run-1,Run-2,Run-3,Run-4
0,0.0216,0.001356465996625042,0.022,0.02,0.024,0.021,0.021
1,1.9966000000000002,0.002653299832088147,2.0,1.992,1.998,1.997,1.996
2,1.8458,0.028512453419502638,1.849,1.824,1.826,1.9,1.83
3,1.9194,0.03862952238897272,1.891,1.896,1.887,1.989,1.934
4,1.9194,0.03862952238897272,1.891,1.896,1.887,1.989,1.934
5,1.9381999999999997,0.03689119136055184,1.924,1.902,1.922,2.009,1.934
6,1.9484000000000001,0.027565195446427257,1.933,1.945,1.937,2.002,1.925
7,1.9484000000000001,0.027565195446427257,1.933,1.945,1.937,2.002,1.925
8,1.9334,0.028182263926090734,1.918,1.928,1.918,1.989,1.914
9,1.9334,0.028182263926090734,1.918,1.928,1.918,1.989,1.914
10,1.9186,0.023938253904566005,1.905,1.913,1.903,1.966,1.906
11,1.9186,0.023938253904566005,1.905,1.913,1.903,1.966,1.906
12,1.8980000000000001,0.028649607327137623,1.871,1.903,1.877,1.951,1.888
13,1.8980000000000001,0.028649607327137623,1.871,1.903,1.877,1.951,1.888
14,1.8812000000000002,0.03633951017830966,1.844,1.897,1.86,1.945,1.86
15,1.8812000000000002,0.03633951017830966,1.844,1.897,1.86,1.945,1.86
16,1.8614000000000002,0.030987739510966294,1.834,1.877,1.846,1.915,1.835
17,1.8614000000000002,0.030987739510966294,1.834,1.877,1.846,1.915,1.835
18,1.8323999999999998,0.03320602354996653,1.796,1.829,1.834,1.893,1.81
19,1.8323999999999998,0.03320602354996653,1.796,1.829,1.834,1.893,1.81
20,1.8112000000000001,0.025095019426160416,1.793,1.814,1.795,1.859,1.795
21,1.8112000000000001,0.025095019426160416,1.793,1.814,1.795,1.859,1.795
22,1.7884,0.031180763300468553,1.758,1.807,1.789,1.836,1.752
23,1.7884,0.031180763300468553,1.758,1.807,1.789,1.836,1.752
24,1.7774,0.0302694565527697,1.754,1.8,1.763,1.825,1.745
25,1.7774,0.0302694565527697,1.754,1.8,1.763,1.825,1.745
26,1.7681999999999998,0.030583655765794363,1.748,1.8,1.748,1.81,1.735
27,1.7681999999999998,0.030583655765794363,1.748,1.8,1.748,1.81,1.735
28,1.7532,0.028216307341664474,1.735,1.787,1.737,1.787,1.72
29,1.7532,0.028216307341664474,1.735,1.787,1.737,1.787,1.72
30,1.7384,0.0316392161723497,1.705,1.774,1.727,1.778,1.708
31,1.7384,0.0316392161723497,1.705,1.774,1.727,1.778,1.708
32,1.7259999999999998,0.030607188698094066,1.694,1.765,1.709,1.761,1.701
33,1.7259999999999998,0.030607188698094066,1.694,1.765,1.709,1.761,1.701
34,1.7172,0.03150492025064988,1.689,1.761,1.694,1.75,1.692
35,1.7172,0.03150492025064988,1.689,1.761,1.694,1.75,1.692
36,1.709,0.031074104975039728,1.68,1.753,1.69,1.74,1.682
37,1.709,0.031074104975039728,1.68,1.753,1.69,1.74,1.682
38,1.7009999999999998,0.032631273343227366,1.669,1.75,1.678,1.73,1.678
39,1.7009999999999998,0.032631273343227366,1.669,1.75,1.678,1.73,1.678
40,1.6894000000000002,0.027717142709870177,1.667,1.738,1.67,1.703,1.669
41,1.6894000000000002,0.027717142709870177,1.667,1.738,1.67,1.703,1.669
42,1.6842,0.029552664854458288,1.669,1.735,1.668,1.698,1.651
43,1.6842,0.029552664854458288,1.669,1.735,1.668,1.698,1.651
44,1.6792000000000002,0.027902688042538242,1.665,1.729,1.663,1.689,1.65
45,1.6792000000000002,0.027902688042538242,1.665,1.729,1.663,1.689,1.65
46,1.6732,0.026977027263955313,1.659,1.718,1.66,1.688,1.641
47,1.6732,0.026977027263955313,1.659,1.718,1.66,1.688,1.641
48,1.669,0.029099828178189426,1.654,1.719,1.652,1.683,1.637
49,1.669,0.029099828178189426,1.654,1.719,1.652,1.683,1.637
50,1.6640000000000001,0.0282488937836367,1.65,1.712,1.653,1.676,1.629
51,1.6640000000000001,0.0282488937836367,1.65,1.712,1.653,1.676,1.629
52,1.6618,0.026991850621997212,1.649,1.705,1.65,1.678,1.627
53,1.6618,0.026991850621997212,1.649,1.705,1.65,1.678,1.627
54,1.6598,0.02723527124887734,1.649,1.7,1.652,1.678,1.62
55,1.6598,0.02723527124887734,1.649,1.7,1.652,1.678,1.62
56,1.6582000000000001,0.028449253065748175,1.65,1.701,1.649,1.675,1.616
57,1.6582000000000001,0.028449253065748175,1.65,1.701,1.649,1.675,1.616
58,1.6564,0.029695790947538533,1.652,1.701,1.644,1.673,1.612
59,1.6564,0.029695790947538533,1.652,1.701,1.644,1.673,1.612
