Unfairness weight,Local cost weight,Global cost weight
0.6,0.3,0.10000000000000003
0.6,0.3,0.10000000000000003
0.6,0.3,0.10000000000000003
0.6,0.3,0.10000000000000003
0.6,0.3,0.10000000000000003
0.6,0.3,0.10000000000000003
0.6,0.3,0.10000000000000003
0.6,0.3,0.10000000000000003
0.6,0.3,0.10000000000000003
0.6,0.3,0.10000000000000003
0.6,0.3,0.10000000000000003
0.6,0.3,0.10000000000000003
0.6,0.3,0.10000000000000003
0.6,0.3,0.10000000000000003
0.6,0.3,0.10000000000000003
0.6,0.3,0.10000000000000003
0.6,0.3,0.10000000000000003
0.6,0.3,0.10000000000000003
0.6,0.3,0.10000000000000003
0.6,0.3,0.10000000000000003
0.6,0.3,0.10000000000000003
0.6,0.3,0.10000000000000003
0.6,0.3,0.10000000000000003
0.6,0.3,0.10000000000000003
0.6,0.3,0.10000000000000003
0.6,0.3,0.10000000000000003
0.6,0.3,0.10000000000000003
0.6,0.3,0.10000000000000003
0.6,0.3,0.10000000000000003
0.6,0.3,0.10000000000000003
0.6,0.3,0.10000000000000003
0.6,0.3,0.10000000000000003
0.6,0.3,0.10000000000000003
0.6,0.3,0.10000000000000003
0.6,0.3,0.10000000000000003
0.6,0.3,0.10000000000000003
0.6,0.3,0.10000000000000003
0.6,0.3,0.10000000000000003
0.6,0.3,0.10000000000000003
0.6,0.3,0.10000000000000003
0.6,0.3,0.10000000000000003
0.6,0.3,0.10000000000000003
0.6,0.3,0.10000000000000003
0.6,0.3,0.10000000000000003
0.6,0.3,0.10000000000000003
0.6,0.3,0.10000000000000003
0.6,0.3,0.10000000000000003
0.6,0.3,0.10000000000000003
0.6,0.3,0.10000000000000003
0.6,0.3,0.10000000000000003
0.6,0.3,0.10000000000000003
0.6,0.3,0.10000000000000003
0.6,0.3,0.10000000000000003
0.6,0.3,0.10000000000000003
0.6,0.3,0.10000000000000003
0.6,0.3,0.10000000000000003
0.6,0.3,0.10000000000000003
0.6,0.3,0.10000000000000003
0.6,0.3,0.10000000000000003
0.6,0.3,0.10000000000000003

