Iteration,Mean,Stdev,Run-0,Run-1,Run-2,Run-3,Run-4
0,0.4103612554960082,0.017962182154177365,0.3762857956394315,0.4292213880970984,0.4184722213002913,0.41228024449396067,0.4155466279492591
1,0.8478496734776758,0.009514787638114985,0.8560227800707171,0.8565045242145543,0.8365428859299452,0.8542505487267769,0.8359276284463862
2,1.2202324689932134,0.025157933435140188,1.2579344180043728,1.2260815633553914,1.2155620099361448,1.2223710565945187,1.1792132970756397
3,1.657444275728873,0.07389501237290401,1.7186363780625615,1.7712357268302825,1.6064607060242713,1.582754244979302,1.6081343227479474
4,1.6594372851344859,0.0783077052753224,1.7037532098282306,1.7926067611163357,1.6099378870006134,1.582754244979302,1.6081343227479474
5,1.6885364888828653,0.08641253214160972,1.7037532098282306,1.7926067611163357,1.6099378870006134,1.7663450965199297,1.5700394899492176
6,1.6867571957259273,0.10046174728127243,1.728083041986119,1.8043034667150648,1.57680182648296,1.7663450965199297,1.558252546925562
7,1.6860030138756545,0.09138729234532249,1.7625107091873229,1.8043034667150648,1.6048314553248264,1.6957591220453452,1.562610316105714
8,1.690065202154893,0.08870069033069028,1.7625107091873229,1.7795142595663571,1.6048314553248264,1.740859270590245,1.562610316105714
9,1.687885930425303,0.09120683018452495,1.7633919019888908,1.7795142595663571,1.593107341016292,1.740859270590245,1.5625568789647306
10,1.6939361573802867,0.0980963542630833,1.7633919019888908,1.7391236298779913,1.593107341016292,1.8115010350535274,1.5625568789647306
11,1.6959191167548338,0.0942218097125307,1.7535606633361733,1.7391236298779913,1.622489137097688,1.8115010350535274,1.5529211184087874
12,1.6940588187830983,0.09160850671861258,1.7535606633361733,1.7420077496957351,1.622489137097688,1.7993154253771073,1.5529211184087874
13,1.685308416790911,0.09920756167607665,1.738958021344966,1.7420077496957351,1.6228909390344133,1.7993154253771073,1.5233699485023324
14,1.6876520360086915,0.10176740812125804,1.738958021344966,1.7435595774162698,1.6228909390344133,1.809481693745477,1.5233699485023324
15,1.6840573966136945,0.09922240125448886,1.718459775496651,1.7435595774162698,1.6229602582934683,1.809481693745477,1.5258256781166055
16,1.674079093767966,0.09183783430060805,1.718459775496651,1.7091609052397614,1.6229602582934683,1.7939888516933427,1.5258256781166055
17,1.659404685877314,0.10976378495848756,1.7053677022859326,1.7091609052397614,1.618480460184799,1.7939888516933427,1.470025509982735
18,1.6467204898833665,0.09991810745948859,1.7053677022859326,1.676505591997832,1.618480460184799,1.7632231849655335,1.470025509982735
19,1.637617252798878,0.09644860463198258,1.6794272833320294,1.676505591997832,1.5901144612888725,1.7632231849655335,1.4788157424101216
20,1.6226991406560844,0.08639964649236472,1.6794272833320294,1.6317095329745426,1.5901144612888725,1.733428683274856,1.4788157424101216
21,1.6078445369306937,0.08812346487810294,1.6336997888229032,1.6317095329745426,1.5769968294197676,1.733428683274856,1.4633878501613984
22,1.596362285151272,0.08083349891356198,1.6336997888229032,1.5963909295658132,1.5769968294197676,1.7113360277864775,1.4633878501613984
23,1.5761974021186744,0.1076055275268955,1.6177317453768405,1.5963909295658132,1.572951366063172,1.7113360277864775,1.38257694180107
24,1.5610409335526894,0.09604063605030808,1.6177317453768405,1.566580990565122,1.572951366063172,1.6653636239572427,1.38257694180107
25,1.5352641237269795,0.10708067237755536,1.578859081742256,1.566580990565122,1.523613796209525,1.6653636239572427,1.3419031261607521
26,1.5271784460239888,0.10459442623656112,1.578859081742256,1.531403278042724,1.523613796209525,1.6601129479646861,1.3419031261607521
27,1.5168338847494272,0.10420732256402053,1.5501728935831642,1.531403278042724,1.5054032682308085,1.6601129479646861,1.337077035925754
28,1.506731755818707,0.10033252716580358,1.5501728935831642,1.4945818813300262,1.5054032682308085,1.6464237000237818,1.337077035925754
29,1.5044360080437518,0.10332520361160896,1.5432404219693054,1.4945818813300262,1.5111819877168995,1.6464237000237818,1.3267520491787452
30,1.4902230158795062,0.09347279252803392,1.5432404219693054,1.465298604380691,1.5111819877168995,1.6046420161518895,1.3267520491787452
31,1.4837573792036864,0.09463529816410306,1.5338461461307,1.465298604380691,1.4960611618513464,1.6046420161518895,1.318938967503804
32,1.475788938729984,0.09299574357048769,1.5338461461307,1.4383198531620147,1.4960611618513464,1.5917785650020548,1.318938967503804
33,1.4596371740111542,0.0875666617196957,1.4889983210198727,1.4383198531620147,1.4593149077563756,1.5917785650020548,1.3197742231154543
34,1.454688894554348,0.08400845231432905,1.4889983210198727,1.4275766179088247,1.4593149077563756,1.5777804029712124,1.3197742231154543
35,1.4538038810589968,0.08659027322856833,1.485374026970985,1.4275766179088247,1.466838777780298,1.5777804029712124,1.311449579663664
36,1.4370952997162938,0.07309650835255861,1.485374026970985,1.4035522790405777,1.466838777780298,1.5182618351259445,1.311449579663664
37,1.4302063423958806,0.0759053237302698,1.4737621924856124,1.4035522790405777,1.4581601420968826,1.5182618351259445,1.2972952632303874
38,1.4243049468732725,0.06772457687076537,1.4737621924856124,1.4125774315059685,1.4581601420968826,1.4797297050475129,1.2972952632303874
39,1.422557416961232,0.062356999996692794,1.4553061533574305,1.4125774315059685,1.4594176920950357,1.4797297050475129,1.3057561028002127
40,1.415655914308106,0.06000276897344341,1.4553061533574305,1.3966069597420738,1.4594176920950357,1.4611926635457766,1.3057561028002127
41,1.4089692928992799,0.06344077290594033,1.4433568512325705,1.3966069597420738,1.4534066877512295,1.4611926635457766,1.2902833022247477
42,1.4019650385050917,0.062082451702690805,1.4433568512325705,1.3777648565702352,1.4534066877512295,1.4450134947466755,1.2902833022247477
43,1.3962276616200513,0.0660432958520683,1.440659571168706,1.3777648565702352,1.4434649285659835,1.4450134947466755,1.274235457048657
44,1.3943068872502307,0.06590071446177628,1.440659571168706,1.3717255556415064,1.4434649285659835,1.4414489238263006,1.274235457048657
45,1.3899047661637793,0.0670830902330097,1.438709143642314,1.3717255556415064,1.4317527719547118,1.4414489238263006,1.2658874357540641
46,1.3879032973763308,0.06651493916338463,1.438709143642314,1.367268810439264,1.4317527719547118,1.4358983250913002,1.2658874357540641
47,1.380285212678065,0.062081653185701954,1.4174272468102203,1.367268810439264,1.4160787407485507,1.4358983250913002,1.26475294030099
48,1.3730122903839703,0.056844089002854155,1.4174272468102203,1.3693852635398118,1.4160787407485507,1.3974172605202784,1.26475294030099
49,1.3636382731607146,0.05686703765155872,1.3974172605202781,1.3693852635398118,1.4017100270740734,1.3974172605202784,1.2522615541491322
50,1.3600202414757532,0.055800920926390905,1.3974172605202781,1.360052940146081,1.4017100270740734,1.3886594254892015,1.2522615541491322
51,1.3599302613991813,0.0580369204106649,1.3963323386644027,1.360052940146081,1.4065557223231502,1.3886594254892015,1.2480508803730717
52,1.3585535292315032,0.05710611361865379,1.3963323386644027,1.3655442138576106,1.4065557223231502,1.3762844909392824,1.2480508803730717
53,1.3585572404253248,0.05301909550271932,1.3985649788265115,1.3655442138576106,1.396896202299942,1.3762844909392824,1.2554963162032773
54,1.3586845489223216,0.05304994363566976,1.3985649788265115,1.3658389363318064,1.396896202299942,1.3766263109500703,1.2554963162032773
55,1.356624199079,0.05142161484494555,1.392838827718412,1.3658389363318064,1.3920398701186685,1.3766263109500703,1.2557770502760432
