Unfairness weight,Local cost weight,Global cost weight
0.4,0.3,0.3
0.4,0.3,0.3
0.4,0.3,0.3
0.4,0.3,0.3
0.4,0.3,0.3
0.4,0.3,0.3
0.4,0.3,0.3
0.4,0.3,0.3
0.4,0.3,0.3
0.4,0.3,0.3
0.4,0.3,0.3
0.4,0.3,0.3
0.4,0.3,0.3
0.4,0.3,0.3
0.4,0.3,0.3
0.4,0.3,0.3
0.4,0.3,0.3
0.4,0.3,0.3
0.4,0.3,0.3
0.4,0.3,0.3
0.4,0.3,0.3
0.4,0.3,0.3
0.4,0.3,0.3
0.4,0.3,0.3
0.4,0.3,0.3
0.4,0.3,0.3
0.4,0.3,0.3
0.4,0.3,0.3
0.4,0.3,0.3
0.4,0.3,0.3
0.4,0.3,0.3
0.4,0.3,0.3
0.4,0.3,0.3
0.4,0.3,0.3
0.4,0.3,0.3
0.4,0.3,0.3
0.4,0.3,0.3
0.4,0.3,0.3
0.4,0.3,0.3
0.4,0.3,0.3
0.4,0.3,0.3
0.4,0.3,0.3
0.4,0.3,0.3
0.4,0.3,0.3
0.4,0.3,0.3
0.4,0.3,0.3
0.4,0.3,0.3
0.4,0.3,0.3
0.4,0.3,0.3
0.4,0.3,0.3
0.4,0.3,0.3
0.4,0.3,0.3
0.4,0.3,0.3
0.4,0.3,0.3
0.4,0.3,0.3
0.4,0.3,0.3
0.4,0.3,0.3
0.4,0.3,0.3
0.4,0.3,0.3
0.4,0.3,0.3

