Iteration,Mean,Stdev,Run-0,Run-1,Run-2,Run-3,Run-4
0,0.1102,0.006368673331236146,0.098,0.115,0.11,0.113,0.115
1,2.017,0.0036878177829099672,2.017,2.024,2.016,2.014,2.014
2,1.9294,0.024303086223778653,1.956,1.927,1.915,1.956,1.893
3,2.2694,0.037462514597902195,2.293,2.26,2.211,2.323,2.26
4,2.2606,0.037638278387814667,2.288,2.26,2.206,2.313,2.236
5,2.2800000000000002,0.053840505198212596,2.288,2.357,2.206,2.313,2.236
6,2.2990000000000004,0.05065964863675222,2.317,2.357,2.237,2.343,2.241
7,2.3101999999999996,0.04571826768372495,2.367,2.324,2.276,2.343,2.241
8,2.335,0.034911316216954445,2.367,2.352,2.276,2.365,2.315
9,2.3465999999999996,0.025523322667734306,2.381,2.352,2.32,2.365,2.315
10,2.3557999999999995,0.026187019685376785,2.381,2.374,2.32,2.376,2.328
11,2.3528,0.026813429471109353,2.373,2.374,2.313,2.376,2.328
12,2.3606000000000003,0.02556247249386849,2.373,2.389,2.313,2.361,2.367
13,2.3616,0.02192350336967482,2.369,2.389,2.322,2.361,2.367
14,2.3722000000000003,0.029620263334391828,2.369,2.413,2.322,2.386,2.371
15,2.3716000000000004,0.029418361613086644,2.365,2.413,2.323,2.386,2.371
16,2.3705999999999996,0.025865807545921975,2.365,2.393,2.323,2.392,2.38
17,2.3576,0.03916426943016653,2.327,2.393,2.296,2.392,2.38
18,2.3536,0.036285534307749556,2.327,2.377,2.296,2.393,2.375
19,2.3443999999999994,0.04631025804292927,2.281,2.377,2.296,2.393,2.375
20,2.3388,0.043760255940747055,2.281,2.355,2.296,2.398,2.364
21,2.3308,0.05306373526241659,2.261,2.355,2.276,2.398,2.364
22,2.3229999999999995,0.04707865758495864,2.261,2.362,2.276,2.381,2.335
23,2.3206,0.049810039148733665,2.256,2.362,2.269,2.381,2.335
24,2.3116,0.04226393261400637,2.256,2.363,2.269,2.347,2.323
25,2.3078,0.04686747272896929,2.244,2.363,2.262,2.347,2.323
26,2.3012,0.041354080814352726,2.244,2.34,2.262,2.347,2.313
27,2.2984,0.04448640241691011,2.239,2.34,2.253,2.347,2.313
28,2.2918,0.03909680293835504,2.239,2.34,2.253,2.32,2.307
29,2.2880000000000003,0.045064398364986775,2.217,2.34,2.256,2.32,2.307
30,2.2794,0.0382862899743476,2.217,2.324,2.256,2.305,2.295
31,2.2732,0.046404310144644176,2.196,2.324,2.246,2.305,2.295
32,2.266,0.04160288451537718,2.196,2.315,2.246,2.279,2.294
33,2.2664,0.042207108406052234,2.193,2.315,2.251,2.279,2.294
34,2.2594,0.037022155528820856,2.193,2.302,2.251,2.271,2.28
35,2.2492,0.060575242467521884,2.131,2.302,2.262,2.271,2.28
36,2.2401999999999997,0.058444503591022996,2.131,2.3,2.262,2.235,2.273
37,2.2438,0.04965239168460372,2.154,2.3,2.257,2.235,2.273
38,2.2396000000000003,0.048508143646178135,2.154,2.291,2.257,2.222,2.274
39,2.2350000000000003,0.05419594080738968,2.137,2.291,2.251,2.222,2.274
40,2.2364,0.055105716581844676,2.137,2.299,2.251,2.226,2.269
41,2.2358000000000002,0.05337939677440186,2.141,2.299,2.244,2.226,2.269
42,2.2339999999999995,0.052478567053628127,2.141,2.295,2.244,2.222,2.268
43,2.2314,0.056733059145432675,2.129,2.295,2.243,2.222,2.268
44,2.232,0.0565579348986413,2.129,2.292,2.243,2.224,2.272
45,2.2296,0.05593424711211385,2.13,2.292,2.23,2.224,2.272
46,2.2304000000000004,0.05610917928465917,2.13,2.293,2.23,2.227,2.272
47,2.2294,0.05790544015893044,2.125,2.293,2.23,2.227,2.272
48,2.2288,0.05787365549193127,2.125,2.292,2.23,2.224,2.273
49,2.2318,0.05702771256153891,2.128,2.292,2.242,2.224,2.273
50,2.2314,0.057763656393969354,2.128,2.29,2.242,2.218,2.279
51,2.2268,0.06409804989233756,2.11,2.29,2.237,2.218,2.279
52,2.2256,0.06129796081437149,2.11,2.279,2.237,2.227,2.275
53,2.2244,0.06356602866311128,2.104,2.279,2.237,2.227,2.275
54,2.2236000000000002,0.0628954688351937,2.104,2.275,2.237,2.227,2.275
55,2.2206,0.06609568821034506,2.095,2.275,2.231,2.227,2.275
56,2.2220000000000004,0.0672963594854754,2.095,2.282,2.231,2.227,2.275
57,2.2208,0.06835612627994285,2.092,2.282,2.228,2.227,2.275
58,2.2204,0.06800176468298494,2.092,2.28,2.228,2.227,2.275
59,2.2198,0.0656639931773757,2.098,2.28,2.219,2.227,2.275
