Iteration,Mean,Stdev,Run-0,Run-1,Run-2,Run-3,Run-4
0,0.0196,0.0010198039027185322,0.021,0.019,0.018,0.02,0.02
1,1.9893999999999998,0.0032619012861545677,1.991,1.985,1.993,1.986,1.992
2,1.8336,0.021786234185848567,1.84,1.811,1.822,1.873,1.822
3,1.9322,0.01438610440667894,1.907,1.932,1.932,1.951,1.939
4,1.9352,0.00957914401184486,1.922,1.932,1.932,1.951,1.939
5,1.9487999999999999,0.029795301643050172,1.911,1.934,1.998,1.964,1.937
6,1.9582000000000002,0.03540282474604696,1.911,1.97,2.014,1.965,1.931
7,1.9589999999999996,0.034356949806426396,1.915,1.97,2.014,1.965,1.931
8,1.955,0.0367858668512673,1.915,1.959,2.017,1.964,1.92
9,1.9522000000000002,0.04010685726903656,1.901,1.959,2.017,1.964,1.92
10,1.9418,0.04593647787978495,1.901,1.954,2.023,1.935,1.896
11,1.9393999999999998,0.04826012847062381,1.889,1.954,2.023,1.935,1.896
12,1.925,0.03831448812132476,1.889,1.928,1.992,1.93,1.886
13,1.9253999999999998,0.0379452236783582,1.891,1.928,1.992,1.93,1.886
14,1.9142,0.033234921393022206,1.891,1.903,1.977,1.916,1.884
15,1.9082000000000001,0.0390763355497881,1.861,1.903,1.977,1.916,1.884
16,1.8872,0.025568730903204853,1.861,1.891,1.931,1.891,1.862
17,1.8847999999999998,0.02832948993540725,1.849,1.891,1.931,1.891,1.862
18,1.8726000000000003,0.02180458667342455,1.849,1.87,1.911,1.878,1.855
19,1.8696000000000002,0.02555464732684741,1.834,1.87,1.911,1.878,1.855
20,1.8516000000000001,0.021490463001047243,1.834,1.832,1.891,1.856,1.845
21,1.8486,0.024565015774468773,1.819,1.832,1.891,1.856,1.845
22,1.8370000000000002,0.014966629547088413,1.819,1.826,1.86,1.848,1.832
23,1.8368000000000002,0.01521052267344744,1.818,1.826,1.86,1.848,1.832
24,1.8228000000000002,0.009744742172028522,1.818,1.811,1.839,1.828,1.818
25,1.8184,0.014650597257443863,1.796,1.811,1.839,1.828,1.818
26,1.8142,0.013541048703843242,1.796,1.81,1.838,1.813,1.814
27,1.8135999999999999,0.014374978260869815,1.793,1.81,1.838,1.813,1.814
28,1.8008,0.010628264204471528,1.793,1.802,1.821,1.795,1.793
29,1.7957999999999998,0.01705754964819116,1.768,1.802,1.821,1.795,1.793
30,1.7872,0.011088733020528558,1.768,1.785,1.8,1.787,1.796
31,1.7887999999999997,0.008471127433869973,1.776,1.785,1.8,1.787,1.796
32,1.775,0.009591663046647598,1.776,1.763,1.792,1.774,1.77
33,1.7727999999999997,0.010342146779126106,1.765,1.763,1.792,1.774,1.77
34,1.7706,0.008777243302988796,1.765,1.756,1.779,1.777,1.776
35,1.7704,0.008912911982058989,1.764,1.756,1.779,1.777,1.776
36,1.7566000000000002,0.010892199043339486,1.764,1.739,1.763,1.749,1.768
37,1.7526000000000004,0.011110355529818813,1.744,1.739,1.763,1.749,1.768
38,1.7497999999999998,0.011822013364930672,1.744,1.737,1.765,1.74,1.763
39,1.7496000000000003,0.011926441212670863,1.743,1.737,1.765,1.74,1.763
40,1.7391999999999999,0.013644046320670471,1.743,1.72,1.75,1.727,1.756
41,1.738,0.013520355024929985,1.737,1.72,1.75,1.727,1.756
42,1.735,0.010714476188781722,1.737,1.724,1.739,1.723,1.752
43,1.7334,0.010892199043339486,1.729,1.724,1.739,1.723,1.752
44,1.7252000000000003,0.012172099243733048,1.729,1.719,1.719,1.712,1.747
45,1.7248,0.012073110618215246,1.727,1.719,1.719,1.712,1.747
46,1.7216,0.01207642331156306,1.727,1.719,1.712,1.708,1.742
47,1.7207999999999999,0.011822013364930672,1.723,1.719,1.712,1.708,1.742
48,1.72,0.013007690033232135,1.723,1.714,1.704,1.716,1.743
49,1.7182,0.013090454537578055,1.714,1.714,1.704,1.716,1.743
50,1.7158000000000002,0.010264501936266084,1.714,1.713,1.704,1.713,1.735
51,1.7154,0.010365326815872601,1.712,1.713,1.704,1.713,1.735
52,1.7126000000000001,0.006406246951231175,1.712,1.707,1.709,1.71,1.725
53,1.7104000000000004,0.007939773296463636,1.701,1.707,1.709,1.71,1.725
54,1.7054000000000002,0.00882269799998824,1.701,1.698,1.697,1.711,1.72
55,1.7042000000000002,0.009703607576529882,1.695,1.698,1.697,1.711,1.72
56,1.7024000000000001,0.00786384130052665,1.695,1.696,1.697,1.712,1.712
57,1.7026,0.007683749084948979,1.696,1.696,1.697,1.712,1.712
58,1.701,0.008173126696703444,1.696,1.697,1.692,1.705,1.715
59,1.7004000000000001,0.008616263691389622,1.693,1.697,1.692,1.705,1.715
