Iteration,Mean,Stdev,Run-0,Run-1,Run-2,Run-3,Run-4
0,0.054000000000000006,0.004427188724235662,0.05,0.057,0.06,0.055,0.048
1,2.0121999999999995,0.004621688003493488,2.014,2.019,2.005,2.013,2.01
2,1.8931999999999998,0.019943921379725976,1.91,1.876,1.878,1.924,1.878
3,2.1470000000000002,0.018384776310830745,2.163,2.161,2.15,2.149,2.112
4,2.1546,0.03713004174518987,2.218,2.161,2.123,2.159,2.112
5,2.1532,0.034959405029277635,2.208,2.181,2.123,2.132,2.122
6,2.1604,0.04639224073053626,2.208,2.216,2.153,2.132,2.093
7,2.1484,0.04034649922856095,2.153,2.216,2.153,2.127,2.093
8,2.1475999999999997,0.027317393726354555,2.153,2.193,2.152,2.127,2.113
9,2.1386000000000003,0.030650285479892406,2.12,2.193,2.152,2.115,2.113
10,2.1356,0.03755848772246676,2.12,2.201,2.15,2.115,2.092
11,2.1308000000000002,0.04170083932006861,2.123,2.201,2.15,2.088,2.092
12,2.1106,0.038928652686705506,2.123,2.167,2.124,2.088,2.051
13,2.0951999999999997,0.04785561618035182,2.098,2.167,2.124,2.036,2.051
14,2.0794,0.036761936836904235,2.098,2.123,2.105,2.036,2.035
15,2.0740000000000003,0.040259160448269826,2.088,2.123,2.105,2.019,2.035
16,2.0472,0.03566735201835098,2.088,2.061,2.075,2.019,1.993
17,2.0218,0.05194381580131026,2.046,2.061,2.075,1.934,1.993
18,2.0026,0.04434681499272672,2.046,2.025,2.041,1.934,1.967
19,1.9884,0.04504042628572967,1.995,2.025,2.041,1.914,1.967
20,1.968,0.04490434277438637,1.995,1.99,2.025,1.914,1.916
21,1.9584,0.047263516585202475,1.965,1.99,2.025,1.896,1.916
22,1.9291999999999998,0.02715437349674016,1.965,1.954,1.928,1.896,1.903
23,1.92,0.026690822392713778,1.937,1.954,1.928,1.878,1.903
24,1.902,0.028851343122992066,1.937,1.918,1.918,1.878,1.859
25,1.8881999999999999,0.028491402211894366,1.895,1.918,1.918,1.851,1.859
26,1.8712,0.02287706274853277,1.895,1.873,1.897,1.851,1.84
27,1.8608,0.02939659844267516,1.879,1.873,1.897,1.815,1.84
28,1.8276,0.039937951875386124,1.879,1.857,1.825,1.815,1.762
29,1.8102,0.03795470985266273,1.838,1.857,1.825,1.769,1.762
30,1.8024,0.03791358595542868,1.838,1.851,1.801,1.769,1.753
31,1.796,0.035338364421686794,1.812,1.851,1.801,1.763,1.753
32,1.7886,0.035522387307164206,1.812,1.833,1.801,1.763,1.734
33,1.7856,0.034441835026593995,1.799,1.833,1.801,1.761,1.734
34,1.7774,0.03151253718758793,1.799,1.828,1.757,1.761,1.742
35,1.7740000000000002,0.03458901559742772,1.801,1.828,1.757,1.742,1.742
36,1.7616,0.029206848511949584,1.801,1.792,1.745,1.742,1.728
37,1.7558,0.023033888078222244,1.772,1.792,1.745,1.742,1.728
38,1.7516000000000003,0.023294634575348878,1.772,1.785,1.737,1.742,1.722
39,1.7471999999999999,0.02316376480627584,1.762,1.785,1.737,1.73,1.722
40,1.7424,0.022499777776690044,1.762,1.776,1.726,1.73,1.718
41,1.7378,0.021562931155108732,1.747,1.776,1.726,1.722,1.718
42,1.7322,0.021451340284473246,1.747,1.766,1.72,1.722,1.706
43,1.7285999999999997,0.02129413064675657,1.737,1.766,1.72,1.714,1.706
44,1.7224000000000004,0.02252642892246606,1.737,1.758,1.709,1.714,1.694
45,1.7204000000000002,0.02259734497677662,1.733,1.758,1.709,1.708,1.694
46,1.718,0.020029977533692157,1.733,1.749,1.706,1.708,1.694
47,1.7136000000000002,0.018725383841161906,1.713,1.749,1.706,1.706,1.694
48,1.7082000000000002,0.01918749592832258,1.713,1.742,1.692,1.706,1.688
49,1.7076,0.01986554806695644,1.717,1.742,1.692,1.699,1.688
50,1.7022,0.02676863836658029,1.717,1.741,1.66,1.699,1.694
51,1.7014000000000002,0.026612778885328012,1.715,1.741,1.66,1.697,1.694
52,1.7012,0.023599999999989314,1.715,1.737,1.667,1.697,1.69
53,1.6995999999999998,0.02272971623230652,1.705,1.737,1.667,1.699,1.69
54,1.6968,0.022364257197592833,1.705,1.731,1.663,1.699,1.686
55,1.6948,0.021985449733869167,1.699,1.731,1.663,1.695,1.686
56,1.6914000000000002,0.02612738027432273,1.699,1.73,1.649,1.695,1.684
57,1.6893999999999998,0.026058395959862212,1.698,1.73,1.649,1.686,1.684
58,1.6888,0.025222212432686245,1.698,1.728,1.65,1.686,1.682
59,1.688,0.024883729623994107,1.692,1.728,1.65,1.688,1.682
