Iteration,Mean,Stdev,Run-0,Run-1,Run-2,Run-3,Run-4
0,0.07520000000000002,0.006112282715974251,0.065,0.08,0.082,0.077,0.072
1,2.0154,0.0032619012859503513,2.017,2.018,2.009,2.016,2.017
2,1.9215999999999998,0.024735399734009785,1.944,1.916,1.9,1.956,1.892
3,2.2752,0.046477521448553424,2.309,2.307,2.187,2.304,2.269
4,2.278,0.06786162391218929,2.32,2.259,2.157,2.3,2.354
5,2.3108,0.10302310420483372,2.459,2.259,2.157,2.3,2.379
6,2.3274,0.08896875856164652,2.459,2.274,2.198,2.327,2.379
7,2.3382,0.09318240177200733,2.501,2.274,2.228,2.327,2.361
8,2.3518,0.08751548434420868,2.501,2.331,2.228,2.338,2.361
9,2.3578,0.07930548530839059,2.491,2.331,2.248,2.338,2.381
10,2.371,0.07712068464426279,2.491,2.361,2.248,2.374,2.381
11,2.3664,0.08432698263308042,2.479,2.361,2.219,2.374,2.399
12,2.3694,0.08453780219522168,2.479,2.366,2.219,2.384,2.399
13,2.3694,0.07696128897048822,2.463,2.366,2.23,2.384,2.404
14,2.3738,0.07809327755958312,2.463,2.368,2.23,2.404,2.404
15,2.3739999999999997,0.07503865670439798,2.465,2.368,2.238,2.404,2.395
16,2.3701999999999996,0.07472456088865399,2.465,2.357,2.238,2.396,2.395
17,2.3684000000000003,0.07903568814149489,2.476,2.357,2.232,2.396,2.381
18,2.366,0.07798204921646255,2.476,2.364,2.232,2.377,2.381
19,2.3556,0.06944523021777978,2.44,2.364,2.228,2.377,2.369
20,2.3516,0.06889586344622199,2.44,2.351,2.228,2.37,2.369
21,2.3397999999999994,0.0629202670051785,2.402,2.351,2.219,2.37,2.357
22,2.335,0.06132862300754316,2.402,2.346,2.219,2.351,2.357
23,2.3282,0.0595126877228793,2.382,2.346,2.212,2.351,2.35
24,2.321,0.058835363515488036,2.382,2.312,2.212,2.349,2.35
25,2.3022,0.05639645378922035,2.345,2.312,2.194,2.349,2.311
26,2.2948,0.05267409230352014,2.345,2.299,2.194,2.325,2.311
27,2.2944000000000004,0.06183073669298845,2.363,2.299,2.179,2.325,2.306
28,2.2898000000000005,0.060509172858311824,2.363,2.291,2.179,2.31,2.306
29,2.2800000000000002,0.05914389233047373,2.342,2.291,2.168,2.31,2.289
30,2.2748,0.0589420053951387,2.342,2.266,2.168,2.309,2.289
31,2.263,0.05996332212278999,2.311,2.266,2.148,2.309,2.281
32,2.2542,0.056855606583702166,2.311,2.247,2.148,2.284,2.281
33,2.25,0.04940850129279181,2.292,2.247,2.156,2.284,2.271
34,2.239,0.04854276465138792,2.292,2.215,2.156,2.261,2.271
35,2.2262,0.050061562101061934,2.28,2.215,2.136,2.261,2.239
36,2.2252,0.04893832853703109,2.28,2.218,2.136,2.253,2.239
37,2.216,0.04555875327528863,2.258,2.218,2.131,2.253,2.22
38,2.2126,0.04638361779765214,2.258,2.199,2.131,2.255,2.22
39,2.1988000000000003,0.05191685660746134,2.232,2.199,2.103,2.255,2.205
40,2.1936,0.048984079046160235,2.232,2.188,2.103,2.24,2.205
41,2.1864,0.052419843570927424,2.226,2.188,2.09,2.24,2.188
42,2.1806,0.049094195176208714,2.226,2.177,2.09,2.222,2.188
43,2.1708000000000003,0.05083463386313238,2.209,2.177,2.077,2.222,2.169
44,2.1710000000000003,0.05008792269598842,2.209,2.183,2.077,2.217,2.169
45,2.1637999999999997,0.049551589278254184,2.195,2.183,2.075,2.217,2.149
46,2.164,0.0507464284457526,2.195,2.177,2.075,2.224,2.149
47,2.159,0.05375127905455968,2.176,2.177,2.061,2.224,2.157
48,2.1553999999999998,0.05187909020019948,2.176,2.164,2.061,2.219,2.157
49,2.146,0.05526662645757193,2.169,2.164,2.053,2.219,2.125
50,2.145,0.05435071296680386,2.169,2.162,2.053,2.216,2.125
51,2.1408,0.05898610005755629,2.172,2.162,2.044,2.216,2.11
52,2.1366,0.05522173485141379,2.172,2.154,2.044,2.203,2.11
53,2.1324,0.057822486975225185,2.172,2.154,2.044,2.203,2.089
54,2.132,0.057504782409804354,2.172,2.153,2.044,2.202,2.089
55,2.1313999999999997,0.056201779331275924,2.165,2.153,2.043,2.202,2.094
56,2.1285999999999996,0.05539891695693627,2.165,2.139,2.043,2.202,2.094
57,2.1278,0.05175867077117619,2.153,2.139,2.05,2.202,2.095
58,2.1294,0.052201915673657256,2.153,2.147,2.05,2.202,2.095
59,2.1228000000000002,0.05531148162902689,2.143,2.147,2.047,2.202,2.075
