Iteration,Mean,Stdev,Run-0,Run-1,Run-2,Run-3,Run-4
0,0.0796,0.004841487374764038,0.072,0.081,0.087,0.08,0.078
1,2.0156,0.003136877428224705,2.015,2.019,2.01,2.016,2.018
2,1.9243999999999999,0.02708209740770288,1.953,1.908,1.905,1.961,1.895
3,2.2816,0.042088478233346084,2.335,2.286,2.206,2.298,2.283
4,2.2962000000000002,0.08789402710081305,2.397,2.27,2.163,2.261,2.39
5,2.3045999999999998,0.09849385767651336,2.439,2.27,2.163,2.261,2.39
6,2.3289999999999997,0.09612283807713216,2.439,2.249,2.209,2.306,2.442
7,2.338,0.09280732729693329,2.447,2.286,2.209,2.306,2.442
8,2.3678,0.08215935734900232,2.447,2.286,2.255,2.399,2.452
9,2.3662,0.07568725123822884,2.425,2.3,2.255,2.399,2.452
10,2.3668,0.0699754242573693,2.425,2.3,2.268,2.397,2.444
11,2.3659999999999997,0.0648598489051685,2.407,2.314,2.268,2.397,2.444
12,2.3672,0.06782153050469754,2.407,2.314,2.265,2.398,2.452
13,2.373,0.06803822455060342,2.423,2.327,2.265,2.398,2.452
14,2.3686,0.061144419205687056,2.423,2.327,2.276,2.375,2.442
15,2.3664,0.056073523163790336,2.399,2.34,2.276,2.375,2.442
16,2.3711999999999995,0.05499599985455969,2.399,2.34,2.287,2.38,2.45
17,2.374,0.056670980227973074,2.413,2.34,2.287,2.38,2.45
18,2.367,0.051240608895670996,2.413,2.34,2.286,2.368,2.428
19,2.3744,0.054661137931801315,2.436,2.354,2.286,2.368,2.428
20,2.3760000000000003,0.05814464721707185,2.436,2.354,2.28,2.374,2.436
21,2.3782,0.05850948641031914,2.44,2.361,2.28,2.374,2.436
22,2.37,0.060560713337938755,2.44,2.361,2.268,2.358,2.423
23,2.3662,0.05866651515130686,2.43,2.352,2.268,2.358,2.423
24,2.3636,0.06397999687401701,2.43,2.352,2.264,2.336,2.436
25,2.3608000000000002,0.06472835545569773,2.43,2.338,2.264,2.336,2.436
26,2.3572,0.06492272329469595,2.43,2.338,2.265,2.321,2.432
27,2.3548,0.06027404084678593,2.409,2.347,2.265,2.321,2.432
28,2.3576,0.0610298287724777,2.409,2.347,2.256,2.345,2.431
29,2.3542,0.0636157213273447,2.415,2.324,2.256,2.345,2.431
30,2.3482,0.06314237879586618,2.415,2.324,2.25,2.333,2.419
31,2.346,0.06319810123729674,2.412,2.316,2.25,2.333,2.419
32,2.3411999999999997,0.06661651446901853,2.412,2.316,2.238,2.324,2.416
33,2.3378,0.06572183807533244,2.404,2.307,2.238,2.324,2.416
34,2.3348000000000004,0.062319820282139185,2.404,2.307,2.24,2.32,2.403
35,2.3302,0.06354966561674875,2.4,2.288,2.24,2.32,2.403
36,2.3194,0.06426694329123953,2.4,2.288,2.227,2.298,2.384
37,2.317,0.06412487816751264,2.396,2.28,2.227,2.298,2.384
38,2.3108,0.06134297025740135,2.396,2.28,2.214,2.319,2.345
39,2.3078,0.0584171207780819,2.384,2.277,2.214,2.319,2.345
40,2.3098,0.05473353633741599,2.384,2.277,2.227,2.312,2.349
41,2.3076,0.05537725164722533,2.382,2.268,2.227,2.312,2.349
42,2.3056,0.054748881267106135,2.382,2.268,2.224,2.318,2.336
43,2.3018,0.054230618657737914,2.374,2.257,2.224,2.318,2.336
44,2.3016,0.05012225054803227,2.374,2.257,2.236,2.308,2.333
45,2.3008,0.05278408851159898,2.378,2.249,2.236,2.308,2.333
46,2.2996000000000003,0.05471233864494485,2.378,2.249,2.231,2.301,2.339
47,2.2994000000000003,0.052572236018627705,2.373,2.253,2.231,2.301,2.339
48,2.2994,0.05287570330503304,2.373,2.253,2.231,2.299,2.341
49,2.3006,0.05550351340230105,2.381,2.251,2.231,2.299,2.341
50,2.3009999999999997,0.056483625945942494,2.381,2.251,2.231,2.295,2.347
51,2.3017999999999996,0.055344015033255124,2.38,2.256,2.231,2.295,2.347
52,2.303,0.056366656810569724,2.38,2.256,2.231,2.295,2.353
53,2.2968,0.05589418574413262,2.366,2.239,2.231,2.295,2.353
54,2.2966,0.055694164864906234,2.366,2.239,2.231,2.295,2.352
55,2.2992,0.05449550440174796,2.369,2.249,2.231,2.295,2.352
56,2.2990000000000004,0.05430285443693215,2.369,2.249,2.231,2.295,2.351
57,2.2973999999999997,0.05630843631287708,2.37,2.24,2.231,2.295,2.351
58,2.296,0.05503090041060201,2.37,2.24,2.231,2.295,2.344
59,2.2952,0.05167746123795481,2.361,2.245,2.231,2.295,2.344
