Iteration,Mean,Stdev,Run-0,Run-1,Run-2,Run-3,Run-4
0,0.032600000000000004,0.0029393876913397904,0.032,0.03,0.038,0.03,0.033
1,2.0052,0.003655133376448693,2.01,1.999,2.006,2.007,2.004
2,1.8966,0.018161497735595094,1.897,1.9,1.883,1.928,1.875
3,2.0751999999999997,0.029088829471152954,2.056,2.043,2.116,2.104,2.057
4,2.0989999999999998,0.043428101501225225,2.136,2.043,2.155,2.104,2.057
5,2.1372,0.036673696295858135,2.136,2.137,2.155,2.185,2.073
6,2.1544,0.05045631774119756,2.154,2.152,2.216,2.185,2.065
7,2.1486,0.04822281617657663,2.154,2.152,2.216,2.156,2.065
8,2.1447999999999996,0.04221089906649529,2.165,2.147,2.189,2.158,2.065
9,2.1447999999999996,0.04221089906649529,2.165,2.147,2.189,2.158,2.065
10,2.1385999999999994,0.045491098030299396,2.15,2.146,2.186,2.159,2.052
11,2.1385999999999994,0.045491098030299396,2.15,2.146,2.186,2.159,2.052
12,2.1246,0.049657225053361204,2.141,2.125,2.17,2.157,2.03
13,2.1246,0.049657225053361204,2.141,2.125,2.17,2.157,2.03
14,2.1208,0.045119397159093924,2.152,2.129,2.16,2.129,2.034
15,2.1208,0.045119397159093924,2.152,2.129,2.16,2.129,2.034
16,2.106,0.04246881208605406,2.166,2.114,2.106,2.111,2.033
17,2.106,0.04246881208605406,2.166,2.114,2.106,2.111,2.033
18,2.0796,0.030216551755610308,2.115,2.086,2.093,2.08,2.024
19,2.0796,0.030216551755610308,2.115,2.086,2.093,2.08,2.024
20,2.0662,0.029815432245767243,2.106,2.056,2.08,2.073,2.016
21,2.0662,0.029815432245767243,2.106,2.056,2.08,2.073,2.016
22,2.0488,0.02789551935347871,2.085,2.037,2.06,2.06,2.002
23,2.0488,0.02789551935347871,2.085,2.037,2.06,2.06,2.002
24,2.0300000000000002,0.028128277586784704,2.062,2.019,2.041,2.047,1.981
25,2.0300000000000002,0.028128277586784704,2.062,2.019,2.041,2.047,1.981
26,2.0065999999999997,0.0366256740552432,2.032,1.976,2.035,2.04,1.95
27,2.0065999999999997,0.0366256740552432,2.032,1.976,2.035,2.04,1.95
28,1.9919999999999998,0.03219316697687127,2.035,1.975,2.006,2.004,1.94
29,1.9919999999999998,0.03219316697687127,2.035,1.975,2.006,2.004,1.94
30,1.9791999999999998,0.03383134641128229,2.027,1.948,1.996,1.991,1.934
31,1.9791999999999998,0.03383134641128229,2.027,1.948,1.996,1.991,1.934
32,1.9677999999999998,0.03257852053118587,2.007,1.932,1.975,1.997,1.928
33,1.9677999999999998,0.03257852053118587,2.007,1.932,1.975,1.997,1.928
34,1.9629999999999999,0.03229241396985451,2.002,1.93,1.961,1.997,1.925
35,1.9629999999999999,0.03229241396985451,2.002,1.93,1.961,1.997,1.925
36,1.9456,0.024936719912619396,1.97,1.93,1.943,1.976,1.909
37,1.9456,0.024936719912619396,1.97,1.93,1.943,1.976,1.909
38,1.9356000000000002,0.029350298124535344,1.965,1.924,1.931,1.969,1.889
39,1.9356000000000002,0.029350298124535344,1.965,1.924,1.931,1.969,1.889
40,1.9282,0.027967123556076775,1.955,1.927,1.922,1.957,1.88
41,1.9282,0.027967123556076775,1.955,1.927,1.922,1.957,1.88
42,1.9207999999999998,0.03036708744679571,1.953,1.909,1.922,1.95,1.87
43,1.9207999999999998,0.03036708744679571,1.953,1.909,1.922,1.95,1.87
44,1.9044,0.02806848766855983,1.924,1.9,1.916,1.93,1.852
45,1.9044,0.02806848766855983,1.924,1.9,1.916,1.93,1.852
46,1.9012,0.0301688581156002,1.931,1.889,1.914,1.924,1.848
47,1.9012,0.0301688581156002,1.931,1.889,1.914,1.924,1.848
48,1.8938000000000001,0.02342135777446466,1.908,1.885,1.899,1.923,1.854
49,1.8938000000000001,0.02342135777446466,1.908,1.885,1.899,1.923,1.854
50,1.8936,0.029288905749456633,1.915,1.88,1.912,1.919,1.842
51,1.8936,0.029288905749456633,1.915,1.88,1.912,1.919,1.842
52,1.8858000000000001,0.024604064704827393,1.895,1.883,1.9,1.911,1.84
53,1.8858000000000001,0.024604064704827393,1.895,1.883,1.9,1.911,1.84
54,1.8780000000000001,0.025440125785843017,1.889,1.875,1.897,1.899,1.83
55,1.8780000000000001,0.025440125785843017,1.889,1.875,1.897,1.899,1.83
56,1.8724,0.021877842672425898,1.881,1.868,1.882,1.898,1.833
57,1.8724,0.021877842672425898,1.881,1.868,1.882,1.898,1.833
58,1.8670000000000002,0.02265391798340835,1.866,1.863,1.879,1.898,1.829
59,1.8670000000000002,0.02265391798340835,1.866,1.863,1.879,1.898,1.829
